Voltage U1	Corriente IA
0,02	0,03
0,04	0,03
0,07	0,03
0,09	0,03
0,12	0,03
0,14	0,04
0,17	0,04
0,19	0,04
0,21	0,04
0,24	0,04
0,26	0,04
0,29	0,04
0,31	0,04
0,34	0,04
0,36	0,04
0,39	0,04
0,41	0,04
0,43	0,04
0,46	0,03
0,48	0,03
0,51	0,03
0,53	0,04
0,56	0,03
0,58	0,03
0,61	0,03
0,63	0,04
0,65	0,03
0,68	0,03
0,70	0,03
0,73	0,03
0,75	0,03
0,78	0,03
0,80	0,03
0,83	0,03
0,85	0,03
0,87	0,03
0,90	0,03
0,92	0,03
0,95	0,03
0,97	0,03
1,00	0,03
1,02	0,03
1,05	0,02
1,07	0,02
1,09	0,02
1,12	0,02
1,14	0,01
1,17	0,01
1,19	0,01
1,22	0,02
1,24	0,02
1,26	0,01
1,29	0,02
1,31	0,02
1,34	0,01
1,36	0,01
1,39	0,02
1,41	0,02
1,44	0,02
1,46	0,02
1,48	0,02
1,51	0,02
1,53	0,02
1,56	0,02
1,58	0,02
1,61	0,02
1,63	0,02
1,66	0,02
1,68	0,02
1,70	0,02
1,73	0,02
1,75	0,02
1,78	0,03
1,80	0,02
1,83	0,02
1,85	0,03
1,88	0,03
1,90	0,03
1,92	0,03
1,95	0,02
1,97	0,03
2,00	0,03
2,02	0,03
2,05	0,04
2,07	0,05
2,10	0,04
2,12	0,04
2,14	0,04
2,17	0,04
2,19	0,04
2,22	0,04
2,24	0,04
2,27	0,04
2,29	0,04
2,31	0,04
2,34	0,04
2,36	0,04
2,39	0,04
2,41	0,04
2,44	0,04
2,46	0,04
2,49	0,04
2,51	0,04
2,53	0,04
2,56	0,03
2,58	0,02
2,61	0,02
2,63	0,02
2,66	0,02
2,68	0,02
2,71	0,02
2,73	0,02
2,75	0,02
2,78	0,02
2,80	0,02
2,83	0,02
2,85	0,02
2,88	0,02
2,90	0,01
2,93	0,01
2,95	0,01
2,97	0,01
3,00	0,01
3,02	0,01
